fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,confianza_matrícula,mx1,my1,mx2,my2,texto_matricula
0,car,0.9,0,1411,561,1918,973,,,,,,
0,car,0.86,1,728,531,987,786,,,,,,
0,car,0.86,2,324,591,568,759,,,,,,
0,car,0.78,3,508,562,656,684,,,,,,
0,car,0.74,4,1075,524,1313,726,,,,,,
0,car,0.74,5,973,549,1100,649,,,,,,
0,car,0.6,3,627,566,695,656,,,,,,
1,car,0.9,0,1412,561,1918,973,,,,,,
1,car,0.86,1,728,531,987,786,,,,,,
1,car,0.86,2,324,591,568,759,,,,,,
1,car,0.78,3,508,562,655,684,,,,,,
1,car,0.74,4,1075,524,1313,726,,,,,,
1,car,0.74,5,973,549,1100,649,,,,,,
1,car,0.59,3,627,566,695,656,,,,,,
2,car,0.9,0,1411,561,1918,973,,,,,,
2,car,0.86,1,728,531,987,786,,,,,,
2,car,0.86,2,324,591,568,759,,,,,,
2,car,0.78,3,508,562,656,684,,,,,,
2,car,0.75,4,1075,524,1313,726,,,,,,
2,car,0.74,5,973,549,1100,649,,,,,,
2,car,0.6,3,627,566,695,656,,,,,,
3,car,0.9,0,1411,561,1918,973,,,,,,
3,car,0.86,1,728,531,987,786,,,,,,
3,car,0.86,2,324,591,568,759,,,,,,
3,car,0.78,3,508,562,656,684,,,,,,
3,car,0.75,4,1075,524,1313,726,,,,,,
3,car,0.74,5,973,549,1100,649,,,,,,
3,car,0.6,3,627,566,695,656,,,,,,
4,car,0.9,0,1411,561,1918,973,,,,,,
4,car,0.86,2,324,591,568,759,,,,,,
4,car,0.86,1,728,531,987,786,,,,,,
4,car,0.78,3,508,562,656,684,,,,,,
4,car,0.75,4,1075,524,1314,726,,,,,,
4,car,0.75,5,973,549,1100,649,,,,,,
4,car,0.59,3,627,566,695,656,,,,,,
5,car,0.9,0,1411,561,1918,973,,,,,,
5,car,0.86,1,728,531,987,786,,,,,,
5,car,0.86,2,324,591,568,759,,,,,,
5,car,0.78,3,508,562,656,684,,,,,,
5,car,0.75,4,1075,524,1314,726,,,,,,
5,car,0.74,5,973,549,1100,649,,,,,,
5,car,0.59,3,627,566,695,656,,,,,,
6,car,0.9,0,1422,560,1919,977,,,,,,
6,car,0.86,2,324,591,568,760,,,,,,
6,car,0.86,1,727,530,986,786,,,,,,
6,car,0.79,3,508,561,657,683,,,,,,
6,car,0.74,4,1077,523,1317,726,,,,,,
6,car,0.69,5,977,549,1101,648,,,,,,
6,car,0.57,3,627,565,693,653,,,,,,
6,car,0.27,6,538,522,580,553,,,,,,
7,car,0.9,0,1429,558,1919,988,,,,,,
7,car,0.86,2,326,590,567,759,,,,,,
7,car,0.85,1,726,527,984,786,,,,,,
7,car,0.82,3,508,561,683,683,,,,,,
7,car,0.7,4,1079,522,1320,729,,,,,,
7,car,0.66,5,978,548,1102,648,,,,,,
7,car,0.5,3,629,564,691,652,,,,,,
7,car,0.31,6,538,522,581,551,,,,,,
7,license_plate,0.58,1,816,676,904,701,0.58,816,676,904,701,86l5KJJ
8,car,0.88,0,1437,557,1919,997,,,,,,
8,car,0.86,1,726,526,984,783,,,,,,
8,car,0.86,2,324,590,566,759,,,,,,
8,car,0.81,3,507,561,655,682,,,,,,
8,car,0.75,5,980,548,1102,648,,,,,,
8,car,0.73,4,1082,522,1324,729,,,,,,
8,car,0.51,3,626,561,692,651,,,,,,
8,car,0.34,6,538,520,578,548,,,,,,
8,license_plate,0.62,1,817,676,899,700,0.62,817,676,899,700,88665 KJJ
9,car,0.9,0,1447,557,1919,1008,,,,,,
9,car,0.86,2,326,590,567,757,,,,,,
9,car,0.86,1,725,529,983,783,,,,,,
9,car,0.8,3,505,561,658,682,,,,,,
9,car,0.75,5,981,548,1104,648,,,,,,
9,car,0.72,4,1083,521,1328,730,,,,,,
9,car,0.54,3,625,563,690,651,,,,,,
9,car,0.33,6,538,520,576,547,,,,,,
10,car,0.91,0,1454,557,1919,1022,,,,,,
10,car,0.86,2,325,590,567,759,,,,,,
10,car,0.85,1,724,529,981,783,,,,,,
10,car,0.8,4,1085,522,1331,732,,,,,,
10,car,0.8,3,507,560,659,681,,,,,,
10,car,0.71,5,984,548,1106,648,,,,,,
10,car,0.51,3,624,565,689,650,,,,,,
10,car,0.29,6,537,519,573,546,,,,,,
11,car,0.9,0,1464,558,1919,1028,,,,,,
11,car,0.86,2,324,589,567,757,,,,,,
11,car,0.84,1,722,527,980,783,,,,,,
11,car,0.81,3,504,560,678,680,,,,,,
11,car,0.75,4,1086,522,1336,733,,,,,,
11,car,0.66,5,985,547,1112,651,,,,,,
11,car,0.42,3,623,564,687,650,,,,,,
11,car,0.29,6,537,518,572,547,,,,,,
11,car,0.29,3,664,541,713,580,,,,,,
12,car,0.86,2,324,589,567,757,,,,,,
12,car,0.85,0,1475,562,1919,1037,,,,,,
12,car,0.84,6,500,559,663,680,,,,,,
12,car,0.82,1,721,528,979,784,,,,,,
12,car,0.75,4,1089,524,1339,734,,,,,,
12,car,0.65,5,990,547,1114,651,,,,,,
12,car,0.34,3,663,539,712,580,,,,,,
12,car,0.31,3,626,566,686,649,,,,,,
12,car,0.27,6,536,519,572,547,,,,,,
13,car,0.88,0,1485,564,1919,1050,,,,,,
13,car,0.87,2,324,589,566,757,,,,,,
13,car,0.82,1,719,528,979,784,,,,,,
13,car,0.79,3,498,559,667,680,,,,,,
13,car,0.74,4,1090,522,1344,736,,,,,,
13,car,0.65,5,994,547,1116,651,,,,,,
13,car,0.3,3,626,567,685,648,,,,,,
13,car,0.28,3,664,538,712,579,,,,,,
13,car,0.26,6,536,518,571,548,,,,,,
13,license_plate,0.59,1,806,676,891,700,0.59,806,676,891,700,8645 KJJ
14,car,0.88,0,1497,564,1919,1059,,,,,,
14,car,0.88,2,323,589,566,756,,,,,,
14,car,0.82,1,716,528,978,784,,,,,,
14,car,0.77,6,499,560,654,680,,,,,,
14,car,0.74,4,1092,521,1348,739,,,,,,
14,car,0.7,5,996,548,1117,650,,,,,,
14,car,0.32,3,625,567,684,647,,,,,,
14,car,0.29,3,662,537,712,581,,,,,,
14,car,0.26,6,536,517,571,548,,,,,,
